îNåéì˙,ëSçëínï˚åˆã§ícëÃÉRÅ[Éh,ìsìπï{åßñº,ésãÊí¨ë∫ñº,ózê´ä≥é“_ó›åv,ì¸â@êî_ìñì˙,èhîëó√ó{_ìñì˙,é{ê›ó√ó{_ìñì˙,ÇªÇÃëº_ìñì˙,éÄñS_ó›åv,ëﬁâ@ìô_ó›åv,êVãKózê´é“,ä¥êıåoòHïsñæ,èdè«é“êî,íÜìôè«é“êî
2020-02-01,,,,0,0,0,0,0,0,0,0,0,,
2020-02-02,,,,0,0,0,0,0,0,0,0,0,,
2020-02-03,,,,0,0,0,0,0,0,0,0,0,,
2020-02-04,,,,0,0,0,0,0,0,0,0,0,,
2020-02-05,,,,0,0,0,0,0,0,0,0,0,,
2020-02-06,,,,0,0,0,0,0,0,0,0,0,,
2020-02-07,,,,0,0,0,0,0,0,0,0,0,,
2020-02-08,,,,0,0,0,0,0,0,0,0,0,,
2020-02-09,,,,0,0,0,0,0,0,0,0,0,,
2020-02-10,,,,0,0,0,0,0,0,0,0,0,,
2020-02-11,,,,0,0,0,0,0,0,0,0,0,,
2020-02-12,,,,0,0,0,0,0,0,0,0,0,,
2020-02-13,,,,0,0,0,0,0,0,0,0,0,,
2020-02-14,,,,0,0,0,0,0,0,0,0,0,,
2020-02-15,,,,0,0,0,0,0,0,0,0,0,,
2020-02-16,,,,0,0,0,0,0,0,0,0,0,,
2020-02-17,,,,0,0,0,0,0,0,0,0,0,,
2020-02-18,,,,0,0,0,0,0,0,0,0,0,,
2020-02-19,,,,0,0,0,0,0,0,0,0,0,,
2020-02-20,,,,0,0,0,0,0,0,0,0,0,,
2020-02-21,,,,0,0,0,0,0,0,0,0,0,,
2020-02-22,,,,0,0,0,0,0,0,0,0,0,,
2020-02-23,,,,0,0,0,0,0,0,0,0,0,,
2020-02-24,,,,0,0,0,0,0,0,0,0,0,,
2020-02-25,,,,0,0,0,0,0,0,0,0,0,,
2020-02-26,,,,0,0,0,0,0,0,0,0,0,,
2020-02-27,,,,0,0,0,0,0,0,0,0,0,,
2020-02-28,,,,0,0,0,0,0,0,0,0,0,,
2020-02-29,,,,0,0,0,0,0,0,0,0,0,,
2020-03-01,,,,0,0,0,0,0,0,0,0,0,,
2020-03-02,,,,0,0,0,0,0,0,0,0,0,,
2020-03-03,,,,0,0,0,0,0,0,0,0,0,,
2020-03-04,,,,0,0,0,0,0,0,0,0,0,,
2020-03-05,,,,0,0,0,0,0,0,0,0,0,,
2020-03-06,,,,0,0,0,0,0,0,0,0,0,,
2020-03-07,,,,1,1,0,0,0,0,0,1,1,,
2020-03-08,,,,1,1,0,0,0,0,0,0,0,,
2020-03-09,,,,1,1,0,0,0,0,0,0,0,,
2020-03-10,,,,1,1,0,0,0,0,0,0,0,,
2020-03-11,,,,1,0,0,0,0,0,1,0,0,,
2020-03-12,,,,1,0,0,0,0,0,1,0,0,,
2020-03-13,,,,1,0,0,0,0,0,1,0,0,,
2020-03-14,,,,1,0,0,0,0,0,1,0,0,,
2020-03-15,,,,1,0,0,0,0,0,1,0,0,,
2020-03-16,,,,1,0,0,0,0,0,1,0,0,,
2020-03-17,,,,1,0,0,0,0,0,1,0,0,,
2020-03-18,,,,1,0,0,0,0,0,1,0,0,,
2020-03-19,,,,1,0,0,0,0,0,1,0,0,,
2020-03-20,,,,2,1,0,0,0,0,1,1,0,,
2020-03-21,,,,3,2,0,0,0,0,1,1,0,,
2020-03-22,,,,3,2,0,0,0,0,1,0,0,,
2020-03-23,,,,3,2,0,0,0,0,1,0,0,,
2020-03-24,,,,3,2,0,0,0,0,1,0,0,,
2020-03-25,,,,3,3,0,0,0,0,1,0,0,,
2020-03-26,,,,4,3,0,0,0,0,1,1,1,,
2020-03-27,,,,4,3,0,0,0,0,1,0,0,,
2020-03-28,,,,4,3,0,0,0,0,1,0,0,,
2020-03-29,,,,6,5,0,0,0,0,1,2,1,,
2020-03-30,,,,6,5,0,0,0,0,1,0,0,,
2020-03-31,,,,6,5,0,0,0,0,1,0,0,,
2020-04-01,,,,6,5,0,0,0,0,1,0,0,,
2020-04-02,,,,11,10,0,0,0,0,1,5,3,,
2020-04-03,,,,13,12,0,0,0,0,1,2,0,,
2020-04-04,,,,15,14,0,0,0,0,1,2,0,,
2020-04-05,,,,15,14,0,0,0,0,1,0,0,,
2020-04-06,,,,16,14,0,0,0,0,2,1,1,,
2020-04-07,,,,19,16,0,0,0,0,3,3,2,,
2020-04-08,,,,24,21,0,0,0,0,3,5,2,,
2020-04-09,,,,25,22,0,0,0,0,3,1,1,,
2020-04-10,,,,30,26,0,0,0,0,4,5,1,,
2020-04-11,,,,56,31,0,0,22,0,5,26,1,,
2020-04-12,,,,62,37,0,0,22,0,5,6,1,,
2020-04-13,,,,65,44,0,6,18,0,5,3,0,,
2020-04-14,,,,75,61,0,27,7,0,5,10,2,,
2020-04-15,,,,113,66,0,36,4,0,8,38,1,,
2020-04-16,,,,118,72,0,33,4,0,11,5,1,,
2020-04-17,,,,124,79,0,30,4,0,12,6,1,,
2020-04-18,,,,130,78,0,33,7,0,13,6,1,,
2020-04-19,,,,137,81,0,35,6,1,14,7,0,,
2020-04-20,,,,138,85,1,40,5,1,14,1,1,,
2020-04-21,,,,143,86,1,36,5,1,14,5,0,,
2020-04-22,,,,144,85,1,35,4,1,15,1,0,,
2020-04-23,,,,144,86,4,34,4,1,18,0,0,,
2020-04-24,,,,145,85,4,34,4,2,19,1,0,,
2020-04-25,,,,148,85,4,34,4,2,22,3,0,,
2020-04-26,,,,149,85,4,34,4,2,23,1,0,,
2020-04-27,,,,153,80,4,38,3,2,27,4,0,,
2020-04-28,,,,154,78,4,41,1,2,28,1,0,,
2020-04-29,,,,155,71,8,41,2,2,30,1,1,,
